operatorId,geohash,address,lat,lng,acCount,dcCount,hdcCount,maxPowerKw
PL*5KP,0Oy8yVFl,"Warszawa, ul. Sąsiedzka 4, _",52.322081,20.972825,1,0,0,11.0
PL*Q55,0Oy9Jvc0,"Warszawa, Modlińska, 324",52.3466835,20.9500174,0,2,0,22.0
PL*WUA,0Oy9KXlU,"Warszawa, Animuszu, 1",52.3440718,20.95270612,1,2,0,120.0
PL*8BA,0Oy9LIXv,"Warszawa, Przylesie, 3",52.345069,20.9537621,2,0,0,11.0
PL*8BA,0Oy9LMvi,"Warszawa, Przylesie, 3",52.3461743,20.9553702,0,1,0,30.0
PL*GWN,0Oy9MKjb,"Warszawa, Modlińska, 347",52.3501897,20.9454962,0,2,0,140.0
PL*D89,0Oy9UVQG,"Jabłonna, Modlińska, 152",52.3775,20.918333,2,0,0,11.0
PL*WUA,0Oy9UwaX,"Jabłonna, Parkowa, 2",52.3748765,20.9243674,1,2,0,120.0
PL*WUA,0OyA0SoS,"Żyrardów, Skrowaczewskiego, 68",52.067388,20.437489,1,2,0,120.0
PL*3T1,0OyA0Zar,"Żyrardów, Jana Skrowaczewskiego 27, N/A",52.06778,20.438465,1,2,0,60.0
PL*ANW,0OyA7KNE,"Żyrardów, Jaktorowska, 55",52.0591051,20.4715915,1,2,0,120.0
PL*Q55,0OyAlX5H,"Żyrardów, Stefana Okrzei, 54B",52.0532333,20.436635,1,2,0,50.0
PL*2G7,0OyAmjKd,"Żyrardów, Adama Mickiewicza, 31/41",52.0434136,20.4529386,1,0,0,22.0
PL*Z3Y,0OyAtWBe,"Żyrardów, Jaktorowska, 40",52.05229297,20.4579243,1,2,0,120.0
PL*GWN,0OyAx956,"Żyrardów, Kilińskiego, 14",52.063743,20.4440088,1,0,0,11.0
PL*PKN,0OyB87w_,"Holendry Baranowskie, MOP Baranów Północ, A2",52.112028,20.466861,1,2,0,100.0
PL*Q55,0OyH~GrA,"Piorunów, Piorunów, 21",52.2030618,20.5575745,0,0,4,180.0
PL*Q55,0OyH~H6R,"Piorunów, Piorunów, 21",52.2037356,20.5582257,1,2,0,50.0
PL*WUA,0OyJ074U,"Grodzisk Mazowiecki, Traugutta, 19",52.111556,20.621148,1,2,0,60.0
PL*GJC,0OyJ2Xql,"Grodzisk Mazowiecki, Żydowska, 11",52.1127706,20.6236658,2,2,0,50.0
PL*WUA,0OyJ3DX2,"Grodzisk Mazowiecki, Matejki, 6b",52.11543522,20.62270153,1,2,0,120.0
PL*GWN,0OyJ518r,"Grodzisk Mazowiecki, E. Orzeszkowej, 1",52.107906,20.6393781,1,0,0,11.0
PL*Z75,0OyJ7V0B,"Grodzisk Mazowiecki, Marii Konopnickiej, 34",52.10794123,20.64405467,0,0,0,0.0
PL*Z75,0OyJ7XWp,"Grodzisk Mazowiecki, Marii Konopnickiej , 05-825 Grodzisk Mazowiecki, Polska, 34A",52.108088,20.6448223,2,0,0,22.0
PL*Q55,0OyJ8rpW,"Grodzisk Mazowiecki, Królewska, 57B",52.10904,20.6427551,0,0,0,0.0
PL*GWN,0OyJ_5Y0,"Grodzisk Mazowiecki, Cegielniana, 2",52.111866,20.652294,0,2,0,140.0
PL*8BA,0OyJamxO,"Grodzisk Mazowiecki, Żyrardowska, 14",52.099081,20.606815,2,0,0,11.0
PL*JKN,0OyJzPPD,"Grodzisk Mazowiecki, Spółdzielcza, parking",52.104553,20.625708,0,2,0,90.0
PL*PKN,0OyKL651,"Przeszkoda, Przeszkoda, 17",52.039508,20.697603,1,2,0,75.0
PL*JMG,0OyN2GW2,"Błonie, Powstańców, 18",52.1980803,20.6232468,2,0,0,22.0
PL*GWN,0OyNeTWg,"Błonie, Sochaczewska, 64B",52.19954,20.600967,0,4,0,140.0
PL*WUA,0OyOLD~~,"Milanówek, Królewska, 21",52.12570778,20.68967242,1,2,0,120.0
PL*7R5,0OyOQExV,"Milanówek, Kwiatowa, 6A",52.14250886,20.65501776,0,0,0,0.0
PL*KQE,0OyOc75l,"Brwinów, Kotowice, 50",52.156048,20.687319,1,1,0,50.0
PL*KQE,0OyOcscp,"Brwinów, Kotowice, 52",52.15441,20.684973,1,1,0,50.0
PL*ELE,0OyOk1C0,"Warsaw, Grodziska 46, Brwinów, N/A",52.1352327,20.7044595,0,2,2,180.0
PL*Z75,0OyOowrk,"Podkowa Leśna, Akacjowa, 39/41",52.12191,20.727245,1,1,0,50.0
PL*JMG,0OyPe6sl,"Płochocin, Długa, 2a",52.198864,20.698387,2,0,0,22.0
PL*9BA,0OyPurs_,"Brwinów, Moszna Parcele, 29",52.175069,20.741836,1,1,0,30.0
PL*NOX,0OyQiT8D,"Teresin, Seroki Wieś, -",52.210861,20.448,2,0,0,22.0
PL*19X,0Oy_DqeW,"Warszawa, Annopol, 2",52.300676,21.027322,4,0,4,350.0
PL*9M2,0Oy_FmGx,"Warszawa, Annopol, 20",52.3132,21.012747,5,1,0,60.0
PL*9M2,0Oy_FnWk,"WARSZAWA, ANNOPOL, 20",52.31358,21.01331,5,1,0,60.0
PL*GWP,0Oy_ISl2,"Warszawa, Toruńska, 90",52.298342,21.029867,1,0,0,22.0
