operatorId,geohash,address,lat,lng,acCount,dcCount,hdcCount,maxPowerKw
DE*EBW,0DlwFtxR,"Oberderdingen, Dr.-Friedrich-Schmitt-Str.",49.06246,8.79751,2,0,0,22.0
DE*EBW,0DlwHFzx,"Oberderdingen, Brettener Str.",49.061653,8.801387,2,0,0,22.0
DE*EBW,0DlwifmS,"Sternenfels, Friedhofweg",49.04798,8.849334,2,0,0,22.0
DE*TSL,0Dl~cWjM,"Bad Rappenau, Buchäckerring",49.212492,9.077474,0,0,8,250.0
DE*TSL,0Dm00Wdu,"Schorndorf, Wiesenstraße",48.816718,9.53842,0,0,8,250.0
DE*EBW,0Dm07QzZ,"Urbach, Mühlwiesen",48.810127,9.570342,0,1,4,300.0
DE*EBW,0Dm2Gv~z,"Plüderhausen, Schulstr.",48.793495,9.602182,2,0,0,22.0
DE*TSL,0Dm4C254,"Eislingen/Fils, Steinbeisstr",48.696056,9.686779,0,0,8,250.0
DE*EBW,0Dm4imuS,"Salach, Eislinger Straße",48.69272,9.7313,0,0,4,150.0
DE*EBW,0Dm8NB8G,"Lorch, Zollplatz",48.7975,9.6912,2,0,0,22.0
DE*EBW,0Dm8NFBd,"Lorch, Hauptstr.",48.79797,9.68985,2,0,0,22.0
DE*EBW,0Dm9MUVY,"Alfdorf, Gmünder Straße",48.838688,9.689748,1,0,4,300.0
DE*EBW,0DmB0gzP,"Walddorfhäslach, Weiherwiesen",48.592617,9.191365,2,0,0,22.0
DE*EBW,0DmCm18W,"Metzingen, Auchtertstr.",48.532295,9.289592,0,0,2,250.0
DE*EBW,0DmFr9uW,"Filderstadt, Raiffeisenstr.",48.657665,9.226584,0,0,2,150.0
DE*EBW,0DmFx5XF,"Filderstadt, Echterdinger Straße",48.67891,9.192741,0,2,0,100.0
DE*EBW,0DmGFs~M,"Aichtal, Waldenbucher Str.",48.622246,9.237869,2,0,0,22.0
DE*EBW,0DmH0UbG,"Neuhausen auf den Fildern, Scharnhäuser Straße",48.68515,9.272971,1,0,4,300.0
DE*EBW,0DmH0l8A,"Neuhausen auf den Fildern, Marktstr.",48.683037,9.278897,2,0,0,22.0
DE*EBW,0DmIMnle,"Dettingen, Rathausplatz",48.52891,9.34587,2,0,0,22.0
DE*EBW,0DmKAX_y,"Hülben, Hauptstraße",48.520737,9.407362,2,0,0,22.0
DE*EBW,0DmL~5eM,"Bissingen, Schulstraße",48.60203,9.490053,2,0,0,22.0
DE*EBW,0DmL~rHF,"Bissingen, Vordere Straße",48.59938,9.491427,2,0,0,22.0
DE*EBW,0DmN0W7O,"Köngen, Stöfflerplatz",48.68475,9.363116,2,0,0,22.0
DE*EBW,0DmN4q8S,"Wendlingen am Neckar, Wehrstr.",48.67018,9.392793,2,0,0,22.0
DE*EBW,0DmNb1Fo,"Köngen, Burgwiesen",48.679543,9.355374,2,0,0,22.0
DE*EBW,0DmNyczJ,"Wendlingen am Neckar, Bahnhofstraße",48.673817,9.375281,2,0,0,22.0
DE*EBW,0DmO1Z2~,"Kirchheim unter Teck, Roßmarkt",48.646393,9.45217,2,0,0,22.0
DE*EBW,0DmOdM3z,"Kirchheim unter Teck, Kruichling",48.64417,9.42971,0,1,4,300.0
DE*EBW,0DmOezjA,"Kirchheim unter Teck, Hahnweidstr.",48.63999,9.444656,2,0,0,22.0
DE*EBW,0DmOlgCg,"Dettingen unter Teck, Kirchheimer Straße",48.620228,9.453779,0,2,0,125.0
DE*EBW,0DmPXZ3y,"Wernau, Kirchheimer Straße",48.690075,9.419009,2,0,0,22.0
DE*EBW,0DmPXlCM,"Wernau, Junkersstr.",48.688393,9.421421,2,0,0,22.0
DE*EBW,0DmPgtbQ,"Kirchheim, Untere Steinstr.",48.650463,9.457406,2,0,0,22.0
DE*EBW,0DmQ5CBP,"Stuttgart, Birkenhofstr.",48.7191,9.2082,2,0,0,22.0
DE*EBW,0DmQF591,"Stuttgart, Ehrlichweg",48.71156,9.14967,2,0,0,22.0
DE*EBW,0DmQHtA5,"Stuttgart, Fasanenhofstraße",48.710182,9.159921,2,0,0,22.0
DE*EBW,0DmQNfHy,"Stuttgart, Schelmenwasenstraße",48.713444,9.166913,2,2,14,400.0
DE*EBW,0DmQSOuf,"Stuttgart, Kurt-Schumacher-Str.",48.714626,9.157089,2,0,0,22.0
DE*EBW,0DmQZpRr,"Stuttgart, Plieninger Str.",48.720207,9.170925,2,0,0,22.0
DE*EBW,0DmQZtA_,"Stuttgart, Plieninger Str.",48.720608,9.170937,4,0,0,22.0
DE*EBW,0DmQnrw9,"Stuttgart, Paracelsusstr.",48.708923,9.206363,2,0,0,22.0
DE*EBW,0DmQuGEx,"Stuttgart, Dreifelderstr.",48.703835,9.218523,2,0,0,22.0
DE*EBW,0DmR1VYw,"Stuttgart, Konrad-Adenauer-Straße",48.779,9.184636,0,2,0,100.0
DE*EBW,0DmR3tDS,"Stuttgart, Gablenberger Hauptstr.",48.77618,9.20419,2,0,0,22.0
DE*EBW,0DmRJJbt,"Stuttgart, Albstr.",48.7418,9.16575,2,0,0,22.0
DE*EBW,0DmRMOHm,"Stuttgart, Felix-Dahn-Straße",48.747852,9.16673,2,0,0,22.0
DE*EBW,0DmROHVC,"Stuttgart, Felix-Dahn-Str.",48.749268,9.17496,2,0,0,22.0
DE*EBW,0DmRS_0l,"Stuttgart, Möhringer Str.",48.762318,9.161763,2,0,0,22.0
DE*EBW,0DmRSifU,"Stuttgart, Karl-Kloß-Str.",48.7583,9.15921,2,0,0,22.0
DE*EBW,0DmRT6xg,"Stuttgart, Schickhardtstr.",48.766006,9.161806,2,0,0,22.0
DE*EBW,0DmRUPXO,"Stuttgart, Reinsburgstr.",48.771004,9.144809,2,0,0,22.0
DE*EBW,0DmRUpog,"Stuttgart, Rotebühlstraße",48.768677,9.150101,2,0,0,22.0
DE*EBW,0DmRVrxf,"Stuttgart, Spittastr.",48.7751,9.15128,2,0,0,22.0
DE*EBW,0DmRWGn7,"Stuttgart, Seyfferstr.",48.77014,9.154409,2,0,0,22.0
DE*EBW,0DmRWUcZ,"Stuttgart, Seyfferstraße",48.772636,9.152491,2,0,0,22.0
DE*EBW,0DmRWrgg,"Stuttgart, Hasenbergsteige",48.768867,9.162447,2,0,0,22.0
DE*EBW,0DmRXIOm,"Stuttgart, Vogelsangstraße",48.773533,9.154634,2,0,0,22.0
DE*EBW,0DmRXYbj,"Stuttgart, Forststraße",48.77702,9.15456,2,0,0,22.0
DE*EBW,0DmRXhzX,"Stuttgart, Hasenbergstraße",48.77535,9.15844,2,0,0,22.0
DE*EBW,0DmRY7k0,"Stuttgart, Zellerstr.",48.76098,9.172501,2,0,0,22.0
DE*EBW,0DmRZJb8,"Stuttgart, Böblinger Straße",48.76415,9.166418,2,0,0,22.0
DE*EBW,0DmRZa7K,"Stuttgart, Hohenstaufenstr.",48.765686,9.16814,2,0,0,22.0
DE*EBW,0DmRZ~wl,"Stuttgart, Fangelsbachstr.",48.76794,9.172858,2,0,0,22.0
DE*EBW,0DmRb3aH,"Stuttgart, Alexanderstraße",48.76794,9.18075,2,0,0,22.0
DE*EBW,0DmRc2eR,"Stuttgart, Augustenstraße",48.772575,9.169853,2,0,0,22.0
DE*EBW,0DmRcOHz,"Stuttgart, Reinsburgstr.",48.770428,9.166538,2,0,0,22.0
DE*EBW,0DmRcUcZ,"Stuttgart, Gutenbergstraße",48.773342,9.163132,2,0,0,22.0
DE*EBW,0DmRcpAq,"Stuttgart, Furtbachstraße",48.76882,9.170691,2,0,0,22.0
DE*EBW,0DmRdHBS,"Stuttgart, Leuschnerstraße",48.77597,9.16398,2,0,0,22.0
DE*EBW,0DmRdIOs,"Stuttgart, Silberburgstraße",48.77399,9.16641,2,0,0,22.0
